Rk_playoff,Tm,Age_playoff,W_playoff,L_playoff,W/L%,PW_playoff,PL_playoff,ORtg_playoff,DRtg_playoff,NRtg_playoff,Pace_playoff,FTr_playoff,3PAr_playoff,TS%_playoff,Offense_Four_Factors_eFG%_playoff,Offense_Four_Factors_TOV%_playoff,Offense_Four_Factors_ORB%_playoff,Offense_Four_Factors_FT/FGA_playoff,Defense_Four_Factors_eFG%_playoff,Defense_Four_Factors_TOV%_playoff,Defense_Four_Factors_DRB%_playoff,Defense_Four_Factors_FT/FGA_playoff,Rk_in_season,Age_in_season,W_in_season,L_in_season,PW_in_season,PL_in_season,MOV,SOS,SRS,ORtg_in_season,DRtg_in_season,NRtg_in_season,Pace_in_season,FTr_in_season,3PAr_in_season,TS%_in_season,Offense_Four_Factors_eFG%_in_season,Offense_Four_Factors_TOV%_in_season,Offense_Four_Factors_ORB%_in_season,Offense_Four_Factors_FT/FGA_in_season,Defense_Four_Factors_eFG%_in_season,Defense_Four_Factors_TOV%_in_season,Defense_Four_Factors_DRB%_in_season,Defense_Four_Factors_FT/FGA_in_season,Arena,Attend.,Attend./G,season_year,logo_url
11.0,Indiana Pacers,27.7,0.0,4.0,0.0,1.0,3.0,97.2,105.1,-7.9,94.4,0.246,0.356,0.496,0.461,10.8,16.6,0.177,0.517,14.3,81.1,0.206,9.0,27.0,48.0,34.0,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,Bankers Life Fieldhouse,689310.0,16812.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/ind.png
12.0,Utah Jazz,27.0,1.0,4.0,0.2,1.0,4.0,99.8,109.2,-9.4,98.0,0.296,0.414,0.501,0.455,13.0,24.9,0.222,0.526,13.3,80.5,0.219,4.0,27.3,50.0,32.0,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189,Vivint Smart Home Arena,750546.0,18306.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/utah.png
13.0,Los Angeles Clippers,26.7,2.0,4.0,0.333,1.0,5.0,112.3,121.9,-9.6,102.1,0.323,0.355,0.563,0.511,11.7,21.9,0.264,0.574,12.5,74.5,0.251,13.0,27.2,48.0,34.0,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22.0,0.258,0.514,11.4,76.0,0.224,STAPLES Center,710327.0,17325.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/lac.png
14.0,Brooklyn Nets,25.3,1.0,4.0,0.2,1.0,4.0,107.1,117.7,-10.6,104.0,0.319,0.372,0.534,0.48,11.5,22.2,0.258,0.542,13.0,67.9,0.23,15.0,25.4,42.0,40.0,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13.0,23.8,0.211,0.512,11.6,76.4,0.19,Barclays Center,612597.0,14941.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png
15.0,Orlando Magic,25.9,1.0,4.0,0.2,1.0,4.0,96.4,111.4,-15.0,95.5,0.267,0.419,0.496,0.451,14.2,20.3,0.207,0.55,11.6,82.8,0.161,14.0,25.7,42.0,40.0,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22.0,0.168,0.515,11.8,79.7,0.186,Amway Center,720024.0,17431.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/orl.png
16.0,Detroit Pistons,26.5,0.0,4.0,0.0,0.0,4.0,97.5,121.1,-23.6,100.5,0.171,0.344,0.471,0.444,8.8,19.8,0.124,0.583,12.0,76.4,0.246,16.0,26.9,41.0,41.0,40,42,-0.24,-0.31,-0.56,109.0,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,Little Caesars Arena,675963.0,16487.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/det.png
1.0,Los Angeles Lakers,29.3,16.0,5.0,0.762,15.0,6.0,115.9,108.9,7.0,97.3,0.293,0.407,0.595,0.561,14.0,26.1,0.222,0.525,13.6,81.9,0.251,5.0,29.5,52.0,19.0,48,23,5.79,0.49,6.28,112.0,106.3,5.7,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,STAPLES Center,588907.0,18997.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/lal.png
2.0,Boston Celtics,25.0,10.0,7.0,0.588,11.0,6.0,111.3,106.3,5.0,96.4,0.285,0.429,0.572,0.527,12.7,21.0,0.233,0.49,11.5,80.5,0.234,2.0,25.3,48.0,24.0,50,22,6.31,-0.47,5.83,113.3,107.0,6.3,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,TD Garden,610864.0,19090.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/bos.png
3.0,Los Angeles Clippers,27.9,7.0,6.0,0.538,8.0,5.0,115.4,111.1,4.3,98.0,0.291,0.38,0.585,0.544,11.8,21.5,0.232,0.542,12.6,80.6,0.209,3.0,27.4,49.0,23.0,50,22,6.44,0.21,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.577,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.206,STAPLES Center,610176.0,19068.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/lac.png
4.0,Toronto Raptors,27.1,7.0,4.0,0.636,7.0,4.0,108.3,104.2,4.1,99.1,0.24,0.455,0.559,0.525,11.8,17.6,0.187,0.507,13.7,82.2,0.211,4.0,26.6,53.0,19.0,50,22,6.24,-0.26,5.97,111.1,105.0,6.1,100.9,0.264,0.421,0.574,0.536,13.1,21.3,0.21,0.502,14.6,76.7,0.202,Scotiabank Arena,633456.0,19796.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/tor.png
